Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Promotion,Competitor Pricing,Seasonality,Epidemic,Demand,Year,Month,Week,Day,Quarter,Net_Price,Discount_Flag,Stock_Gap,Stockout_Risk,Demand_to_Inventory_Ratio
2022-01-01,S001,P0001,Electronics,North,195.0,102.0,252,72.72,5,Snowy,0,85.73,Winter,0,115.0,2022,1,52,1,1,69.08399999999999,1,93.0,0,0.5867346938775511
2022-01-01,S001,P0002,Clothing,North,117.0,117.0,249,80.16,15,Snowy,1,92.02,Winter,0,226.0,2022,1,52,1,1,68.136,1,0.0,0,1.9152542372881356
2022-01-01,S001,P0003,Clothing,North,247.0,114.0,612,62.94,10,Snowy,1,60.08,Winter,0,157.0,2022,1,52,1,1,56.646,1,133.0,0,0.6330645161290323
2022-01-01,S001,P0004,Electronics,North,139.0,45.0,102,87.63,10,Snowy,0,85.19,Winter,0,52.0,2022,1,52,1,1,78.867,1,94.0,0,0.37142857142857144
2022-01-01,S001,P0005,Groceries,North,152.0,65.0,271,54.41,0,Snowy,0,51.63,Winter,0,59.0,2022,1,52,1,1,54.41,0,87.0,0,0.38562091503267976
2022-01-01,S001,P0006,Toys,North,209.0,60.0,0,35.53,0,Snowy,0,40.01,Winter,0,55.0,2022,1,52,1,1,35.53,0,149.0,0,0.2619047619047619
2022-01-01,S001,P0007,Groceries,North,118.0,81.0,335,23.27,5,Snowy,0,24.78,Winter,0,94.0,2022,1,52,1,1,22.106499999999997,1,37.0,0,0.7899159663865546
2022-01-01,S001,P0008,Electronics,North,244.0,42.0,0,37.79,5,Snowy,0,44.85,Winter,0,61.0,2022,1,52,1,1,35.9005,1,202.0,0,0.24897959183673468
2022-01-01,S001,P0009,Clothing,North,115.0,88.0,139,94.2,5,Snowy,0,108.7,Winter,0,129.0,2022,1,52,1,1,89.49,1,27.0,0,1.1120689655172413
2022-01-01,S001,P0010,Furniture,North,192.0,70.0,300,113.35,10,Snowy,0,129.98,Winter,0,69.0,2022,1,52,1,1,102.015,1,122.0,0,0.35751295336787564
2022-01-01,S001,P0011,Furniture,North,215.0,51.0,142,156.34,0,Snowy,0,188.96,Winter,0,64.0,2022,1,52,1,1,156.34,0,164.0,0,0.2962962962962963
2022-01-01,S001,P0012,Groceries,North,289.0,121.0,215,84.48,0,Snowy,0,92.02,Winter,0,104.0,2022,1,52,1,1,84.48,0,168.0,0,0.3586206896551724
2022-01-01,S001,P0013,Toys,North,279.0,113.0,0,33.1,5,Snowy,0,39.11,Winter,0,110.0,2022,1,52,1,1,31.445,1,166.0,0,0.39285714285714285
2022-01-01,S001,P0014,Groceries,North,252.0,121.0,479,80.13,10,Snowy,1,92.24,Winter,0,165.0,2022,1,52,1,1,72.117,1,131.0,0,0.6521739130434783
